识别码,分类名称,网点名称,级别名称,品牌,型号,产地,描述,日租金,押金,物流费,逾期租金
TL-P001,钢琴,海淀店,入门,Yamaha,CLP-735,日本,雅马哈数码钢琴 88键全配重,25,1500,80,38
TL-P002,钢琴,海淀店,专业,Kawai,CA-99,日本,河合旗舰数码钢琴 木质琴键,45,3000,120,68
TL-P003,钢琴,海淀店,入门,Pearl River,UP-121S,中国,珠江经典立式钢琴,20,1000,100,30
TL-P004,钢琴,海淀店,大师,Steinway,Model B,美国,施坦威七尺演奏级三角钢琴,80,5000,200,120
TL-U001,立式钢琴,海淀店,入门,Yamaha,U1,日本,雅马哈经典立式钢琴 二手翻新,18,800,80,27
TL-U002,立式钢琴,海淀店,专业,Kawai,K-500,日本,河合高端立式钢琴,35,2000,100,53
TL-U003,立式钢琴,海淀店,入门,Pearl River,UP-118M,中国,珠江入门立式钢琴,15,600,60,23
TL-U004,立式钢琴,海淀店,专业,Yamaha,YUS5,日本,雅马哈高端立式钢琴,40,2500,100,60
TL-G001,三角钢琴,海淀店,专业,Yamaha,C3X,日本,雅马哈六尺演奏级三角钢琴,55,3500,150,83
TL-G002,三角钢琴,海淀店,大师,Bosendorfer,225,奥地利,贝森朵夫七尺半音乐会钢琴,75,5000,200,113
TL-G003,三角钢琴,海淀店,专业,Kawai,GX-5,日本,河合六尺三角钢琴,50,3000,150,75
TL-V001,小提琴,海淀店,入门,Stentor,Student II,英国,斯坦特入门学生小提琴 4/4,8,300,50,12
TL-V002,小提琴,海淀店,入门,Yamaha,V5SA,日本,雅马哈入门小提琴 全尺寸,10,400,50,15
TL-V003,小提琴,海淀店,专业,Cremona,SV-500,意大利,克雷莫纳手工专业小提琴,22,1200,60,33
TL-V004,小提琴,海淀店,大师,Stradivari,复刻版,意大利,斯特拉迪瓦里复刻大师级小提琴,60,4000,80,90
TL-V005,小提琴,海淀店,专业,Suzuki,NS-20,日本,铃木专业级小提琴,18,800,50,27
TL-D001,打击乐器,海淀店,入门,Roland,TD-07KV,日本,罗兰入门电子鼓套装,12,500,100,18
TL-D002,打击乐器,海淀店,专业,Pearl,Masters Maple,日本,珍珠大师枫木原声鼓组,30,2000,150,45
TL-D003,打击乐器,海淀店,入门,Yamaha,DTX-402K,日本,雅马哈入门电子鼓,10,400,80,15
TL-D004,打击乐器,海淀店,大师,Zildjian,K Custom,美国,知音K系列铜钹套装,35,2500,100,53
