端点类型,任务ID,任务名称,优先级,所属模块,任务描述,API依赖,涉及页面/接口
M,M-001,用户登录与授权,基础,注册/登录,"实现微信授权快速获取手机号登录（使用微信小程序手机号组件）;登录状态保持：JWT token本地存储，30天免登录，过期自动退出;首次登录自动完成注册，自动创建用户档案（头像、昵称、open_id、union_id）",`[Backend-API]-A-001` 用户认证API,`pages/auth/login`
M,M-002,乐器分类页,核心,乐器展示,"展示一级分类（钢琴、吉他、古筝、小提琴等）;二级分类筛选（按品牌、按类型）;分类支持自定义排序，可隐藏/显示指定分类（后端控制）;分类图标展示（从后端动态加载）",`[Backend-API]-C-001` 分类列表API,`pages/category/index`
M,M-003,乐器列表页,核心,乐器展示,"展示核心信息：乐器名称、首图、租金（日/月）、押金、实时库存状态;筛选功能：按租金区间、品牌、租期类型、库存状态（有货/无货）;排序功能：按租金从低到高/从高到低、按上新时间;无限滚动分页加载",`[Backend-API]-C-002` 乐器列表API `,`[Backend-API]-C-003` 库存查询API,`pages/instrument/list`
M,M-004,乐器详情页,核心,乐器展示,"展示基础信息：名称、品牌、型号、材质、尺寸、适用人群;多媒体：多图轮播（支持放大查看）、视频介绍（可选）;规格选择：不同规格对应不同租金/押金（阶梯定价）;明确标注日租/周租/月租单价（周租=日租×6，月租=日租×25等优惠规则）;实时库存显示：实时显示可租赁数量，无货时标注\"暂无可租\";配送服务选择：门店自提/线下闪送;用户评价展示：评分、文字、图片",`[Backend-API]-C-004` 乐器详情API `,`[Backend-API]-C-005` 评价列表API,`pages/instrument/detail`
A,A-001,乐器分类管理列表页,基础,乐器管理,"列表展示所有一级/二级分类;展示字段：分类名称、排序、图标、显示状态;支持按分类名称搜索",`[Backend-API]-C-001` 分类列表API,N/A
A,A-002,乐器分类新增/编辑,基础,乐器管理,"表单字段：分类名称（必填）、父级分类（可选，用于二级分类）、排序序号、图标上传、显示状态;表单验证：分类名称唯一性检查;提交后同步至小程序端实时生效",`[Backend-API]-C-006` 分类创建/编辑API,N/A
A,A-003,乐器信息管理列表页,核心,乐器管理,"列表展示所有乐器;展示字段：乐器名称、品牌、型号、库存、租金范围、上下架状态;筛选条件：按分类、品牌、库存状态、上下架状态;批量操作：批量上下架、批量删除、批量修改租金",`[Backend-API]-C-002` 乐器列表API ,N/A
A,A-004,乐器新增/编辑表单,核心,乐器管理,"基础信息：名称、品牌、型号、材质、尺寸、适用人群、分类;多媒体：多图上传（支持拖拽排序）、视频上传（可选）;规格管理：支持多个规格（如钢琴尺寸120cm/125cm），每个规格独立设置租金、押金、库存;价格设置：日租/周租/月租单价，支持阶梯定价规则配置;上下架控制：手动上下架乐器，下架后小程序端不展示;表单验证：必填项完整性检查、价格区间合理性检查",`[Backend-API]-C-007` 乐器创建/编辑API `,`[Backend-API]-C-008` 图片上传API,N/A
A,A-005,库存管理模块,核心,乐器管理,"实时库存监控：在库/在租/维保三态数量;库存调整：手动调整可租赁数量（需记录操作日志）;库存预警：可设置库存阈值，低于阈值时高亮显示",`[Backend-API]-C-009` 库存管理API,N/A
A,A-006,Excel导入/导出功能,辅助,乐器管理,"导入：支持Excel批量导入乐器信息，支持字段映射配置，导入失败时返回错误行提示;导出：支持按筛选条件导出乐器列表，自定义导出字段",`[Backend-API]-C-010` 导入API `,`[Backend-API]-C-011` 导出API,N/A
B,B-001,用户认证API,基础,N/A,"接收微信小程序code，调用微信API获取open_id/union_id;查询用户表，不存在则自动注册（创建用户档案）;生成JWT token（含user_id, role），有效期30天;返回token及用户信息",N/A,POST /api/auth/wx-login
B,B-002,分类管理API族,基础,N/A,"分类CRUD，支持多级分类、排序、显示状态控制;GET /api/categories - 分类列表（小程序和管理后台共用）;POST /api/categories - 创建分类（管理后台）;PUT /api/categories/:id - 更新分类（管理后台）;DELETE /api/categories/:id - 删除分类（管理后台，需检查是否被引用）",N/A,"GET /api/categories, POST /api/categories, PUT /api/categories/:id, DELETE /api/categories/:id"
B,B-003,乐器管理API族,核心,N/A,"乐器CRUD，支持多规格管理、价格策略、媒体文件管理;GET /api/instruments - 乐器列表（支持筛选、排序、分页）;GET /api/instruments/:id - 乐器详情;POST /api/instruments - 创建乐器（管理后台）;PUT /api/instruments/:id - 更新乐器（管理后台）;PUT /api/instruments/:id/shelf-status - 上下架控制",N/A,"GET /api/instruments, GET /api/instruments/:id, POST /api/instruments, PUT /api/instruments/:id, PUT /api/instruments/:id/shelf-status"
B,B-004,库存管理API族,核心,N/A,"库存实时查询、库存调整、操作日志记录;GET /api/instruments/:id/stock - 实时库存查询;PUT /api/instruments/:id/stock - 库存调整（管理后台）;GET /api/stock/transaction-log - 库存变动日志",N/A,"GET /api/instruments/:id/stock, PUT /api/instruments/:id/stock, GET /api/stock/transaction-log"
B,B-005,评价管理API族,辅助,N/A,"读取评价数据（评论+评分+图片）;GET /api/instruments/:id/reviews",N/A,GET /api/instruments/:id/reviews
B,B-006,文件上传API,通用,N/A,"支持图片、视频上传，返回URL，集成OSS或本地存储",N/A,POST /api/upload
